role,file,timestamp_source,timestamp,scans,gain
primary,20260810_154822_081626_phsi4_0001_8scan_gain12.dx,LONG DATE header,2026-08-10T15:57:37,8,12
5:15 pull,20260810_171806_081626_phsi4_0001_8scan_gain12.dx,LONG DATE header,2026-08-10T17:27:21,8,12
