file,spectrum_index,elapsed_time_hours,correlation_to_first,correlation_to_previous,cosine_similarity_to_first,spectral_rmse_to_first,integrated_absolute_difference,spectral_angle
CEC-PhSi2-flow(sequence-0900)-06-09-26.dx,0,0,1.00,1.00,1.00,0,0,0
CEC-PhSi2-flow(sequence-1000)-06-09-26.dx,1,0.9075,0.9716,0.9716,0.9719,1242.08,3629.53,13.61
CEC-PhSi2-flow(sequence-1015)-06-09-26.dx,2,1.21,0.9926,0.9629,0.9927,923.87,2937.90,6.95
CEC-PhSi2-flow(sequence-1030)-06-09-26.dx,3,1.43,0.9955,0.9872,0.9955,640.19,2173.60,5.43
CEC-PhSi2-flow(sequence-1045)-06-09-26.dx,4,1.68,0.9919,0.9861,0.992,571.53,2390.83,7.24
CEC-PhSi2-flow(sequence-1100)-06-09-26.dx,5,1.92,0.9896,0.9808,0.9897,589.66,2061.90,8.24
CEC-PhSi2-flow(sequence-1115)-06-09-26.dx,6,2.19,0.9941,0.9758,0.9942,427.69,1696.61,6.20
CEC-PhSi2-flow(sequence-1130)-06-09-26.dx,7,2.39,0.9726,0.9688,0.9728,945.58,3401.89,13.38
