file,sequence_label,baseline_median_before,baseline_median_after,baseline_mean_after,baseline_sd_after,baseline_mad_after,baseline_slope_before,baseline_slope_after,baseline_points_used,baseline_flattening_method,baseline_flattening_qc_pass,baseline_flattening_qc_reason
CEC-PhSi2-flow(sequence-0900)-06-09-26.dx,CEC-PhSi2-flow(sequence-0900)-06-09-26,32.36143377542288,-1.4948749391089322,2.2658064319205984e-16,18.791362329647416,13.573294840124976,-2.0704347806454324,-2.0952204991991627e-15,4014,robust_linear,True,median_centered;slope_reduced;no_local_trough_from_linear_fit
CEC-PhSi2-flow(sequence-1000)-06-09-26.dx,CEC-PhSi2-flow(sequence-1000)-06-09-26,29.711688048657606,-0.8899659280846297,3.37585369653707e-14,18.388644617954856,12.844715896569136,2.1277866747058707,5.557771712251535e-15,4122,robust_linear,True,median_centered;slope_reduced;no_local_trough_from_linear_fit
CEC-PhSi2-flow(sequence-1015)-06-09-26.dx,CEC-PhSi2-flow(sequence-1015)-06-09-26,31.242946901302957,-2.0393762251046645,3.3300396560977296e-14,19.956616661287647,14.032311859266036,2.5229868110921183,-1.8246300009068538e-14,3810,robust_linear,True,median_centered;slope_reduced;no_local_trough_from_linear_fit
CEC-PhSi2-flow(sequence-1030)-06-09-26.dx,CEC-PhSi2-flow(sequence-1030)-06-09-26,32.77887939240304,-1.9467403759736754,3.239537706823854e-14,21.91898359249255,15.943053058329575,1.8092806473454977,-7.849929125195882e-15,4127,robust_linear,True,median_centered;slope_reduced;no_local_trough_from_linear_fit
CEC-PhSi2-flow(sequence-1045)-06-09-26.dx,CEC-PhSi2-flow(sequence-1045)-06-09-26,39.07695034973651,-1.5271283247308247,2.0895915032117823e-14,27.84855295067519,20.927122316319878,14.928441889801528,5.1929464859860685e-14,3482,robust_linear,True,median_centered;slope_reduced;no_local_trough_from_linear_fit
CEC-PhSi2-flow(sequence-1100)-06-09-26.dx,CEC-PhSi2-flow(sequence-1100)-06-09-26,30.445197487082766,0.36539669823793375,-1.414371681890971e-14,17.599192266829988,12.181961786415082,-5.1679673827757,-7.657731179954837e-15,3810,robust_linear,True,median_centered;slope_reduced;no_local_trough_from_linear_fit
CEC-PhSi2-flow(sequence-1115)-06-09-26.dx,CEC-PhSi2-flow(sequence-1115)-06-09-26,34.250637152551036,-0.6006033732653577,-4.7380993671233236e-15,21.748665666566023,14.36955761074114,-16.69886126081173,4.794475542409863e-14,4127,robust_linear,True,median_centered;slope_reduced;no_local_trough_from_linear_fit
CEC-PhSi2-flow(sequence-1130)-06-09-26.dx,CEC-PhSi2-flow(sequence-1130)-06-09-26,31.888162538476877,-1.1072452896929086,2.1603483073608925e-14,19.952984538777653,13.530202221462996,-0.40547083860045674,9.984230123275504e-15,3810,robust_linear,True,median_centered;slope_reduced;no_local_trough_from_linear_fit
