peak_family_id,observations,first_spectrum_index,last_spectrum_index,median_ppm,ppm_range,median_width_ppm,reproducible
P001,1,0,0,5.794749254958134,0.0,0.04407728567457012,False
P002,3,1,4,5.845456017215655,0.010406344398988132,0.03157417831051929,True
P003,1,3,3,5.696774199335692,0.0,0.042460098398736795,False
P004,1,4,4,6.0983933692650885,0.0,0.0337140030219921,False
P005,1,4,4,5.21797769186448,0.0,0.0204365215117267,False
P006,1,6,6,5.289165297406385,0.0,0.017226985415112542,False
