file,timestamp,spectrum_index,peak_number,peak_family_id,observed_ppm,aligned_ppm,referenced_ppm,discrete_ppm,interpolated_ppm,height,signed_area,positive_area,local_feet_signed_area,local_feet_positive_area,integration_left_ppm,integration_right_ppm,prominence,prominence_snr,snr,width_ppm,width_hz,fit_model,fit_quality,classification,baseline_method,noise_region,reference_shift_ppm,alignment_shift_ppm,qc_pass,qc_failure_reasons
CEC-PhSi2-flow(sequence-1115)-06-08-26.dx,2026-06-08T11:23:25,0,1,P001,5.759469066073746,5.759469066073746,5.759469066073746,5.759469066073746,5.759529405002851,159.02920972624727,13.19431526783019,20.631578218925203,17.577627405827897,22.590636609845806,5.513894536957578,6.005164273048125,549.310270529222,7.077635470894444,7.605917233670663,0.24563486804527335,14.87329629331331,parabolic maximum,0.9999999999997025,resolved_peak,asymmetric_least_squares,5..6.5 ppm,0.0,0.0,False,width 14.87 Hz > 10 Hz
CEC-PhSi2-flow(sequence-1315)-06-08-26.dx,2026-06-08T13:25:11,2,1,P002,5.606372143494834,5.606372143494834,5.606372143494834,5.606372143494834,5.606330961047906,12.515539599137874,1.1132275886927507,4.496142072939492,-21.551099862362385,0.2822936563715708,5.366744231563461,5.845917690532351,238.87881869027217,7.363465116461921,0.6217795408312178,0.23958672948444543,14.507224926720426,parabolic maximum,0.9999999999998405,resolved_peak,asymmetric_least_squares,5..6.5 ppm,0.0,0.0,False,snr 0.62 < 2; width 14.51 Hz > 10 Hz
CEC-PhSi2-flow(sequence-1415)-06-08-26.dx,2026-06-08T14:21:24,3,1,P003,5.692679233426396,5.692679233426396,5.692679233426396,5.692679233426396,5.692608311879282,38.38584886306719,1.964734034007728,4.97565446294199,3.9585661013216615,6.187330446388997,5.450549153862907,5.934667469895658,210.5098129629381,7.603426891029921,2.1087086274916835,0.24205915801637523,14.656986011352549,parabolic maximum,0.999999999999942,resolved_peak,asymmetric_least_squares,5..6.5 ppm,0.0,0.0,False,width 14.66 Hz > 10 Hz
CEC-PhSi2-flow(sequence-1615)-06-08-26.dx,2026-06-08T16:21:29,5,1,P003,5.683855007051339,5.683855007051339,5.683855007051339,5.683855007051339,5.683995170098674,11.936159242684315,-0.10786678200747346,2.9143198917840816,7.540688139090772,7.856282513324146,5.482569253818787,5.885421086378561,178.20280005415748,5.16671602080671,0.63057528639773,0.20142591627988737,12.196668881563516,parabolic maximum,0.999999999999936,unresolved_feature,asymmetric_least_squares,5..6.5 ppm,0.0,0.0,False,snr 0.63 < 2; width 12.20 Hz > 10 Hz
CEC-PhSi2-flow(sequence-1700)-06-08-26.dx,2026-06-08T17:04:45,6,1,P004,5.611720051811766,5.611720051811766,5.611720051811766,5.611720051811766,5.6116408074877375,-1.256486204630427,-1.1748696409880623,2.442642902158359,6.415118701649548,7.058078862987212,5.400800234730288,5.822481380245187,181.92349499406686,5.731610227422975,-0.07040725841938125,0.2108405727574495,12.766762803695874,parabolic maximum,0.9999999999999982,unresolved_feature,asymmetric_least_squares,5..6.5 ppm,0.0,0.0,False,snr -0.07 < 2; width 12.77 Hz > 10 Hz
