file,timestamp,spectrum_index,peak_number,peak_family_id,observed_ppm,aligned_ppm,referenced_ppm,discrete_ppm,interpolated_ppm,height,signed_area,positive_area,local_feet_signed_area,local_feet_positive_area,integration_left_ppm,integration_right_ppm,prominence,snr,width_ppm,width_hz,fit_model,fit_quality,classification,baseline_method,noise_region,reference_shift_ppm,alignment_shift_ppm,qc_pass,qc_failure_reasons
CEC-PhSi2-flow(sequence-1000)-06-09-26.dx,2026-06-09T10:07:43,1,1,P001,5.777108100819875,5.777108100819875,5.777108100819875,5.777108100819875,5.776952343273093,474.5181402015219,41.80100393201559,41.80100393201559,36.70594401371444,36.70748525357356,5.654913599975721,5.898991086570465,600.86882191985,11.02052202456461,0.12203874329737152,7.389508166893366,parabolic maximum,0.9999999999999211,resolved_peak,polynomial,5..6.5 ppm,0.0,0.0,True,
CEC-PhSi2-flow(sequence-1015)-06-09-26.dx,2026-06-09T10:26:05,2,1,P001,5.785298148083643,5.785298148083643,5.785298148083643,5.785298148083643,5.7852966748804135,1165.073710176516,73.54827776612541,73.54827776612541,62.583839261622316,62.58422086674343,5.6882900742802045,5.882303275480623,1085.2918757831028,27.772851991740485,0.09700660060020923,5.873799046903924,parabolic maximum,0.9999999999995345,resolved_peak,polynomial,5..6.5 ppm,0.0,0.0,True,
CEC-PhSi2-flow(sequence-1030)-06-09-26.dx,2026-06-09T10:38:47,3,1,P001,5.784668167298624,5.784668167298624,5.784668167298624,5.784668167298624,5.784808252630486,1168.9412641044028,68.05549246490027,68.05549246490027,49.43654593055124,49.831560300588826,5.715519470779245,5.854097034481727,1185.7543651744481,23.62928250986503,0.06928878185124127,4.195470895841246,parabolic maximum,0.9999999999998143,resolved_peak,polynomial,5..6.5 ppm,0.0,0.0,True,
CEC-PhSi2-flow(sequence-1045)-06-09-26.dx,2026-06-09T10:53:46,4,1,P001,5.784668059507201,5.784668059507201,5.784668059507201,5.784668059507201,5.784567253257912,1140.0867539765554,75.59752836038606,75.61562302515625,66.36658211369435,66.37096293847449,5.683170292151454,5.885964214364371,1066.4451641610679,19.54143422143598,0.10139696110645825,6.139638283746511,parabolic maximum,0.9999999999999476,resolved_peak,polynomial,5..6.5 ppm,0.0,0.0,True,
CEC-PhSi2-flow(sequence-1100)-06-09-26.dx,2026-06-09T11:08:23,5,1,P001,5.785613001310922,5.785613001310922,5.785613001310922,5.785613001310922,5.785615497024689,1181.7318742783707,69.65531720582521,69.65531720582521,47.8462004492508,48.2845062647697,5.717924584261278,5.8533064097881,1263.6799462199667,24.95055965924894,0.06769091276341159,4.098719997765351,parabolic maximum,0.9999999999998554,resolved_peak,polynomial,5..6.5 ppm,0.0,0.0,True,
CEC-PhSi2-flow(sequence-1115)-06-09-26.dx,2026-06-09T11:24:34,6,1,P001,5.787817978452224,5.787817978452224,5.787817978452224,5.787817978452224,5.787746013599383,1255.5733985016223,80.23182612083758,80.24464625780946,69.2622802136818,69.2622802136818,5.675829856420701,5.899662170778066,1108.4384789299563,27.448919723848178,0.11191615717868246,6.776581833356268,parabolic maximum,0.9999999999997036,resolved_peak,polynomial,5..6.5 ppm,0.0,0.0,True,
CEC-PhSi2-flow(sequence-1130)-06-09-26.dx,2026-06-09T11:36:54,7,1,P001,5.786872988994379,5.786872988994379,5.786872988994379,5.786872988994379,5.7869186565832,1177.2250514718546,70.60084262802187,70.60084262802187,51.012111750987245,51.04710323928282,5.710927827389632,5.862909485776768,1255.3357483636346,23.224389767728095,0.07599082919356807,4.6012843574977715,parabolic maximum,0.999999999999475,resolved_peak,polynomial,5..6.5 ppm,0.0,0.0,True,
