file,timestamp,spectrum_index,peak_number,peak_family_id,observed_ppm,aligned_ppm,referenced_ppm,discrete_ppm,interpolated_ppm,height,signed_area,positive_area,local_feet_signed_area,local_feet_positive_area,integration_left_ppm,integration_right_ppm,prominence,prominence_snr,snr,width_ppm,width_hz,fit_model,fit_quality,classification,baseline_method,noise_region,reference_shift_ppm,alignment_shift_ppm,qc_pass,qc_failure_reasons
CEC-PhSi2-flow(sequence-0900)-06-09-26.dx,2026-06-09T09:13:16,0,1,P001,5.7144,5.7144,5.7144,5.7144,5.7144,68.50,1.42,2.02,1.86,2.35,5.6617,5.7671,104.55,5.02,3.29,0.0527,3.19,parabolic maximum,1,resolved_peak,asymmetric_least_squares,5..6.5 ppm,0.0000,0.0000,False,snr 3.29 < 8
CEC-PhSi2-flow(sequence-1000)-06-09-26.dx,2026-06-09T10:07:43,1,1,P002,5.8518,5.8518,5.8518,5.8518,5.8518,95.36,5.49,5.67,-4.98,0.105,5.8079,5.8957,127.96,7.18,5.35,0.0439,2.66,parabolic maximum,1,resolved_peak,asymmetric_least_squares,5..6.5 ppm,0.0000,0.0000,False,snr 5.35 < 8
CEC-PhSi2-flow(sequence-1000)-06-09-26.dx,2026-06-09T10:07:43,1,2,P003,5.7850,5.7850,5.7850,5.7850,5.7849,448.69,15.50,15.56,11.33,11.79,5.7480,5.8218,483.99,27.17,25.19,0.0369,2.23,parabolic maximum,1,resolved_peak,asymmetric_least_squares,5..6.5 ppm,0.0000,0.0000,True,
CEC-PhSi2-flow(sequence-1015)-06-09-26.dx,2026-06-09T10:26:05,2,1,P003,5.7922,5.7922,5.7922,5.7922,5.7922,1074.52,31.84,31.84,22.09,22.09,5.7645,5.8198,1113.79,51.31,49.50,0.0277,1.67,parabolic maximum,1,resolved_peak,asymmetric_least_squares,5..6.5 ppm,0.0000,0.0000,True,
CEC-PhSi2-flow(sequence-1015)-06-09-26.dx,2026-06-09T10:26:05,2,2,P004,5.3033,5.3033,5.3033,5.3033,5.3033,87.71,5.14,5.56,3.63,4.28,5.2283,5.3783,125.66,5.79,4.04,0.0750,4.54,parabolic maximum,1,resolved_peak,asymmetric_least_squares,5..6.5 ppm,0.0000,0.0000,False,snr 4.04 < 8
CEC-PhSi2-flow(sequence-1030)-06-09-26.dx,2026-06-09T10:38:47,3,1,P003,5.7913,5.7913,5.7913,5.7913,5.7913,1145.27,35.61,35.61,25.30,25.55,5.7608,5.8217,1188.66,52.93,51.00,0.0305,1.85,parabolic maximum,1,resolved_peak,asymmetric_least_squares,5..6.5 ppm,0.0000,0.0000,True,
CEC-PhSi2-flow(sequence-1045)-06-09-26.dx,2026-06-09T10:53:46,4,1,P005,6.4714,6.4714,6.4714,6.4714,6.4712,178.03,3.06,3.94,6.60,6.62,6.4404,6.5021,239.73,8.49,6.30,0.0309,1.87,parabolic maximum,1,resolved_peak,asymmetric_least_squares,5..6.5 ppm,0.0000,0.0000,False,snr 6.30 < 8
CEC-PhSi2-flow(sequence-1045)-06-09-26.dx,2026-06-09T10:53:46,4,2,P006,6.4018,6.4018,6.4018,6.4018,6.4016,129.78,2.47,3.50,5.07,5.48,6.3645,6.4387,190.42,6.74,4.59,0.0371,2.25,parabolic maximum,1,resolved_peak,asymmetric_least_squares,5..6.5 ppm,0.0000,0.0000,False,snr 4.59 < 8
CEC-PhSi2-flow(sequence-1045)-06-09-26.dx,2026-06-09T10:53:46,4,3,P007,6.3466,6.3466,6.3466,6.3466,6.3467,117.74,2.11,3.03,4.76,5.01,6.3137,6.3798,173.71,6.15,4.17,0.0330,2.00,parabolic maximum,1,resolved_peak,asymmetric_least_squares,5..6.5 ppm,0.0000,0.0000,False,snr 4.17 < 8
CEC-PhSi2-flow(sequence-1045)-06-09-26.dx,2026-06-09T10:53:46,4,4,P003,5.7941,5.7941,5.7941,5.7941,5.7940,1108.30,35.47,35.56,28.22,28.22,5.7617,5.8264,1153.56,40.83,39.23,0.0323,1.96,parabolic maximum,1,resolved_peak,asymmetric_least_squares,5..6.5 ppm,0.0000,0.0000,True,
CEC-PhSi2-flow(sequence-1100)-06-09-26.dx,2026-06-09T11:08:23,5,1,P003,5.7925,5.7925,5.7925,5.7925,5.7927,1183.76,36.66,36.66,28.41,28.71,5.7622,5.8232,1222.38,63.29,61.29,0.0305,1.85,parabolic maximum,1,resolved_peak,asymmetric_least_squares,5..6.5 ppm,0.0000,0.0000,True,
CEC-PhSi2-flow(sequence-1100)-06-09-26.dx,2026-06-09T11:08:23,5,2,P008,5.3588,5.3588,5.3588,5.3588,5.3587,81.78,4.78,5.14,4.56,4.87,5.2930,5.4245,119.17,6.17,4.23,0.0658,3.98,parabolic maximum,1,resolved_peak,asymmetric_least_squares,5..6.5 ppm,0.0000,0.0000,False,snr 4.23 < 8
CEC-PhSi2-flow(sequence-1115)-06-09-26.dx,2026-06-09T11:24:34,6,1,P003,5.7954,5.7954,5.7954,5.7954,5.7952,1267.15,36.97,36.98,25.58,25.58,5.7675,5.8229,1315.49,59.07,56.90,0.0277,1.68,parabolic maximum,1,resolved_peak,asymmetric_least_squares,5..6.5 ppm,0.0000,0.0000,True,
CEC-PhSi2-flow(sequence-1130)-06-09-26.dx,2026-06-09T11:36:54,7,1,P003,5.7957,5.7957,5.7957,5.7957,5.7958,1151.97,30.53,30.53,24.65,24.65,5.7700,5.8215,1189.63,55.00,53.26,0.0258,1.56,parabolic maximum,1,resolved_peak,asymmetric_least_squares,5..6.5 ppm,0.0000,0.0000,True,
CEC-PhSi2-flow(sequence-1130)-06-09-26.dx,2026-06-09T11:36:54,7,2,P008,5.3572,5.3572,5.3572,5.3572,5.3573,76.00,1.61,2.01,1.29,1.60,5.3174,5.3972,115.36,5.33,3.51,0.0399,2.42,parabolic maximum,1,resolved_peak,asymmetric_least_squares,5..6.5 ppm,0.0000,0.0000,False,snr 3.51 < 8
