file,raw_sha256,timestamp,timestamp_source,observe_frequency_mhz,spectral_width_hz,spectral_width_ppm,spectral_center_ppm,complex_points,processed_points,frequency_spacing_hz,ppm_spacing,left_limit_ppm,right_limit_ppm,header_solvent_name,header_shift_reference,header_lockoffset,header_o1p,header_sf,header_swh,header_phase0,header_phase1
CEC-PhSi2-flow(sequence-0900)-06-09-26.dx,804c54bdab0228f00d8450d17b40d0122a3f336678183575d80a6d9879fe2a9c,2026-06-09T09:13:16,LONG DATE header,60.55065073950193,1250.000031577657,20.64387444744973,5.0,8192,65536,0.019073486809961807,0.00031500052562636916,15.321937223724865,-5.3219372237248646,Toluene,"INTERNAL, Toluene, 4096, 5.00000000000000",2.08,5.0,60.55065073950193,1250.000031577657,59.5,-79.0
CEC-PhSi2-flow(sequence-1000)-06-09-26.dx,03e14950e008f03e9e90886168a81f2d1ac592d9c76d995bf92333c3cc48214c,2026-06-09T10:07:43,LONG DATE header,60.55051016780276,1250.000031577657,20.64392237346225,5.0,8192,65536,0.019073486809961807,0.0003150012569192848,15.321961186731125,-5.321961186731125,Toluene,"INTERNAL, Toluene, 4096, 5.00000000000000",2.08,5.0,60.55051016780276,1250.000031577657,59.5,-79.0
CEC-PhSi2-flow(sequence-1015)-06-09-26.dx,56f976efa7fcc620849e7364078014d66b85efd67a6785e08a7889533ea0103f,2026-06-09T10:26:05,LONG DATE header,60.550509043312,1250.000031577657,20.643922756843008,5.0,8192,65536,0.019073486809961807,0.00031500126276921093,15.321961378421504,-5.321961378421504,Toluene,"INTERNAL, Toluene, 4096, 5.00000000000000",2.08,5.0,60.550509043312,1250.000031577657,59.5,-79.0
CEC-PhSi2-flow(sequence-1030)-06-09-26.dx,18e886d4a5fa806cf870350a7f1c7909f85f6462816a6e4ca6066773802d52be,2026-06-09T10:38:47,LONG DATE header,60.55050736566076,1250.000031577657,20.643923328816786,5.0,8192,65536,0.019073486809961807,0.00031500127149683817,15.321961664408393,-5.321961664408393,Toluene,"INTERNAL, Toluene, 4096, 5.00000000000000",2.08,5.0,60.55050736566076,1250.000031577657,59.5,-79.0
CEC-PhSi2-flow(sequence-1045)-06-09-26.dx,ec0e6c6e6580206ceee300a095ba96bd9f4910f8bb1e88117b741e741c5256fb,2026-06-09T10:53:46,LONG DATE header,60.55051568360525,1250.000031577657,20.643920492920078,5.0,8192,65536,0.019073486809961807,0.0003150012282244885,15.321960246460039,-5.321960246460039,Toluene,"INTERNAL, Toluene, 4096, 5.00000000000000",2.08,5.0,60.55051568360525,1250.000031577657,59.5,-79.0
CEC-PhSi2-flow(sequence-1100)-06-09-26.dx,d14e2a0c10af152a42c001e781fbce05238635c7a8e9005b2c9d9eea853fe141,2026-06-09T11:08:23,LONG DATE header,60.55052045303189,1250.000031577657,20.64391886684546,5.0,8192,65536,0.019073486809961807,0.0003150012034125589,15.32195943342273,-5.32195943342273,Toluene,"INTERNAL, Toluene, 4096, 5.00000000000000",2.08,5.0,60.55052045303189,1250.000031577657,59.5,-79.0
CEC-PhSi2-flow(sequence-1115)-06-09-26.dx,5122d5c54c8ed327e7a2fac04e92b1563e57a9fe17f7cdf0e58f65ac9dfbcac2,2026-06-09T11:24:34,LONG DATE header,60.55052285736501,1250.000031577657,20.64391804711913,5.0,8192,65536,0.019073486809961807,0.00031500119090452773,15.321959023559565,-5.321959023559565,Toluene,"INTERNAL, Toluene, 4096, 5.00000000000000",2.08,5.0,60.55052285736501,1250.000031577657,59.5,-79.0
CEC-PhSi2-flow(sequence-1130)-06-09-26.dx,7e6b9672c5d8b6d045a014153b7ce2f41a30beed826838e4ffa52b1f2e25209d,2026-06-09T11:36:54,LONG DATE header,60.55052177121431,1250.000031577657,20.64391841742818,5.0,8192,65536,0.019073486809961807,0.0003150011965549954,15.32195920871409,-5.321959208714089,Toluene,"INTERNAL, Toluene, 4096, 5.00000000000000",2.08,5.0,60.55052177121431,1250.000031577657,59.5,-79.0
