file,timestamp,reference_model,region_name,observed_peak_ppm,expected_peak_ppm,required_shift_ppm,required_shift_hz,peak_height,peak_width_hz,peak_snr,prominence_snr,fit_model,fit_quality,overlap_risk,reference_confidence,qc_pass,qc_failure_reason
CEC-PhSi2-flow(sequence-0900)-06-09-26.dx,2026-06-09T09:13:16,protonated_toluene_low_field_neat,methyl,2.0796753242175186,2.09,0.010324675782481307,0.6251658373036195,87694.40066872654,3.6767901003347334,6039.383953808935,6043.832938867181,three-point quadratic maximum,0.9999999999999947,medium,high,True,
CEC-PhSi2-flow(sequence-0900)-06-09-26.dx,2026-06-09T09:13:16,protonated_toluene_low_field_neat,aromatic,6.987772865283976,7.0,0.012227134716024324,0.740360963734828,77912.37483292725,5.337761612250045,4481.641350175888,4508.41587666921,three-point quadratic maximum,0.9999999999995743,medium,high,True,
CEC-PhSi2-flow(sequence-0900)-06-09-26.dx,2026-06-09T09:13:16,protonated_toluene_dilute_cdcl3,methyl,2.0796753242175186,2.34,0.2603246757824813,15.762828522179102,89782.85426827849,3.4673388981809925,19011.768474755954,17565.67712074796,three-point quadratic maximum,0.9999999999999947,medium,high,True,
CEC-PhSi2-flow(sequence-0900)-06-09-26.dx,2026-06-09T09:13:16,protonated_toluene_dilute_cdcl3,aromatic,6.987772865283976,7.19,0.20222713471602471,12.24498460424022,79604.88390025258,5.121888195455438,5181.717070334536,4904.051310584416,three-point quadratic maximum,0.9999999999995743,medium,high,True,
CEC-PhSi2-flow(sequence-0900)-06-09-26.dx,2026-06-09T09:13:16,toluene_d8_residual,methyl,2.0796753242175186,2.089,0.009324675782481417,0.5646151865641242,86727.72839177721,3.630443096722442,4109.794450547711,4110.1596849333655,three-point quadratic maximum,0.9999999999999947,medium,high,True,
CEC-PhSi2-flow(sequence-0900)-06-09-26.dx,2026-06-09T09:13:16,toluene_d8_residual,aromatic_envelope,6.987772865283976,7.014,0.026227134716024558,1.5880700740878693,77079.24306291372,5.263215352681631,3823.784162836109,3836.8641765459665,three-point quadratic maximum,0.9999999999995743,medium,high,True,
CEC-PhSi2-flow(sequence-1000)-06-09-26.dx,2026-06-09T10:07:43,protonated_toluene_low_field_neat,methyl,2.076617778776469,2.09,0.013382221223531054,0.810300322263203,72222.56135439276,3.989436750633633,6737.458124565214,6755.725238397264,three-point quadratic maximum,1.0,medium,high,True,
CEC-PhSi2-flow(sequence-1000)-06-09-26.dx,2026-06-09T10:07:43,protonated_toluene_low_field_neat,aromatic,6.987827781306683,7.0,0.012172218693317305,0.7370340517544284,62691.65798888758,5.1023768945308365,4020.7709801473316,4039.8469265953536,three-point quadratic maximum,0.9999999999999925,medium,high,True,
CEC-PhSi2-flow(sequence-1000)-06-09-26.dx,2026-06-09T10:07:43,protonated_toluene_dilute_cdcl3,methyl,2.076617778776469,2.34,0.26338222122353105,15.947927864213893,73929.54965924639,3.792993176254598,15315.098717695835,14158.232826913432,three-point quadratic maximum,1.0,medium,high,True,
CEC-PhSi2-flow(sequence-1000)-06-09-26.dx,2026-06-09T10:07:43,protonated_toluene_dilute_cdcl3,aromatic,6.987827781306683,7.19,0.2021722186933177,12.241630983636977,63286.21038750275,4.890757925865558,4741.129018073823,4541.661820765653,three-point quadratic maximum,0.9999999999999925,medium,high,True,
