file,source_path,timestamp,elapsed_seconds,target_ppm,peak_ppm,peak_height,peak_area,snr,prominence_snr,prominence,width_ppm,peaks_considered,baseline,noise,points_in_window,delta_height,delta_area,pct_change_height,pct_change_area,error
CEC-PhSi2-flow(sequence-1115)-06-08-26.dx,results\raw\nmr\06-08-26\CEC-PhSi2-flow(sequence-1115)-06-08-26.dx,2026-06-08T11:23:25,,6.1,6.035725545105962,934713144.2775322,0.0,-0.574337697266064,0.6692521066880294,96642478.0458386,0.030441482464928175,9,1017649630.7588618,144403696.4248038,96,,,,,
CEC-PhSi2-flow(sequence-1215)-06-08-26.dx,results\raw\nmr\06-08-26\CEC-PhSi2-flow(sequence-1215)-06-08-26.dx,2026-06-08T12:24:16,,6.1,6.154163386615136,1106672092.9084222,11268869.542372245,0.839022863824941,0.7292220859787373,146225490.33855474,0.059888101883545895,5,938429067.8725106,200522574.87826335,96,,,,,
CEC-PhSi2-flow(sequence-1315)-06-08-26.dx,results\raw\nmr\06-08-26\CEC-PhSi2-flow(sequence-1315)-06-08-26.dx,2026-06-08T13:25:11,,6.1,6.159194539252462,1131402528.946669,20550437.873764273,1.0714308047778374,0.6449382688117038,133578757.42133522,0.04356154066841982,10,909489204.0809212,207118671.47758737,96,,,,,
CEC-PhSi2-flow(sequence-1415)-06-08-26.dx,results\raw\nmr\06-08-26\CEC-PhSi2-flow(sequence-1415)-06-08-26.dx,2026-06-08T14:21:24,,6.1,6.159190349708565,1197888163.704881,14478243.358029833,1.1713776415316446,0.9490592477645119,182277066.5985589,0.03316775412812728,6,972912451.3028818,192060787.59351274,96,,,,,
CEC-PhSi2-flow(sequence-1515)-06-08-26.dx,results\raw\nmr\06-08-26\CEC-PhSi2-flow(sequence-1515)-06-08-26.dx,2026-06-08T15:17:54,,6.1,6.159187725522088,1188571975.6704867,27570658.688965406,1.2146086552594884,0.6862065840810087,138089763.01668096,0.052642821439642495,9,944148466.4040821,201236429.69939655,96,,,,,
CEC-PhSi2-flow(sequence-1615)-06-08-26.dx,results\raw\nmr\06-08-26\CEC-PhSi2-flow(sequence-1615)-06-08-26.dx,2026-06-08T16:21:29,,6.1,6.146583245355538,1223584098.763336,25844053.295980763,1.1793925710720183,0.5515693192058004,118911095.2259903,0.02109340746789561,9,969322562.7346375,215586855.69605157,96,,,,,
CEC-PhSi2-flow(sequence-1700)-06-08-26.dx,results\raw\nmr\06-08-26\CEC-PhSi2-flow(sequence-1700)-06-08-26.dx,2026-06-08T17:04:45,,6.1,6.159181148644333,1204699708.880617,25442570.458316274,1.163812328670106,0.5987918801905661,118544462.1818304,0.04969572577284395,10,974296606.9900663,197972728.26095024,96,,,,,
