ppm,intensity
-5.322036431022282,9.196555661960303
-5.32172142746909,9.942527880041268
-5.321406423915896,11.20381727121162
-5.321091420362704,12.874097993458633
-5.32077641680951,14.804299952293036
-5.320461413256318,16.83096407912393
-5.320146409703124,18.803340545179708
-5.319831406149932,20.601080764891265
-5.31951640259674,22.138072031695344
-5.319201399043546,23.35346246343255
-5.3188863954903525,24.1962234425809
-5.31857139193716,24.612539768022714
-5.318256388383968,24.544439883790346
-5.317941384830775,23.94332698368413
-5.317626381277583,22.795047049392508
-5.3173113777243906,21.146641895498476
-5.316996374171195,19.12194326567294
-5.316681370618003,16.91547949324024
-5.316366367064811,14.761484517178815
-5.316051363511619,12.884563198454316
-5.315736359958425,11.446845892154556
-5.315421356405233,10.509565003869852
-5.315106352852039,10.023123656307234
-5.314791349298847,9.849989477973168
-5.314476345745653,9.812825212311566
-5.314161342192461,9.750983769178902
-5.313846338639269,9.565728228013313
-5.313531335086076,9.239479253008142
-5.313216331532882,8.82495541916336
-5.31290132797969,8.411767407466073
-5.312586324426498,8.085948841169397
-5.312271320873304,7.898915969459949
-5.311956317320112,7.856443692396567
-5.31164131376692,7.9284749832957
-5.311326310213724,8.071549895196938
-5.311011306660532,8.251333531435534
-5.31069630310734,8.454685801428923
-5.310381299554148,8.687456877348893
-5.310066296000954,8.962049120783945
-5.309751292447762,9.283801141572951
-5.30943628889457,9.6451040983427
-5.309121285341375,10.031227468635336
-5.308806281788183,10.434865341992975
-5.308491278234991,10.871082959132139
-5.308176274681799,11.383374718064772
-5.307861271128605,12.035413970918057
-5.307546267575413,12.88985265762767
-5.307231264022219,13.9819133096384
-5.306916260469025,15.298480764862745
-5.306601256915833,16.771623889770467
-5.306286253362641,18.289871162469183
-5.305971249809449,19.723712428805925
-5.305656246256255,20.956655640947815
-5.3053412427030615,21.91169533572048
-5.3050262391498695,22.565458435206494
-5.3047112355966775,22.947164284702353
-5.304396232043484,23.124670644535115
-5.304081228490292,23.18336420530278
-5.3037662249371,23.2046189766657
-5.303451221383904,23.24928181230382
-5.303136217830712,23.34918136375694
-5.30282121427752,23.507105268721602
-5.302506210724328,23.703747059370244
-5.302191207171134,23.908959837023474
-5.301876203617942,24.094135883238266
-5.301561200064748,24.242541000172878
-5.3012461965115545,24.355016388374565
-5.3009311929583625,24.44972056260707
-5.30061618940517,24.556411373733
-5.300301185851978,24.70766904582746
-5.299986182298785,24.930653546577446
-5.299671178745591,25.242784585824722
-5.299356175192399,25.652986849469926
-5.299041171639205,26.16748838742808
-5.298726168086013,26.796809506983266
-5.298411164532821,27.55975370786672
-5.298096160979629,28.481470181725058
-5.297781157426433,29.585512853264902
-5.297466153873241,30.882899587889142
-5.297151150320049,32.36288125345925
-5.296836146766855,33.989494544461195
-5.296521143213663,35.70522333742184
-5.296206139660471,37.439612990371245
-5.295891136107279,39.11832724928206
-5.295576132554084,40.668256483375444
-5.295261129000892,42.01694920284717
-5.2949461254477,43.08851510115602
-5.294631121894508,43.80113122013887
-5.294316118341314,44.07157493747354
-5.294001114788122,43.82930376143196
-5.293686111234928,43.037655266474076
-5.293371107681734,41.71508229877088
-5.293056104128542,39.947367905881435
-5.29274110057535,37.88374890773065
-5.292426097022158,35.715268239615796
-5.292111093468964,33.64029496079519
-5.2917960899157706,31.827166543723195
-5.2914810863625785,30.385142766303886
-5.291166082809385,29.351788916129692
-5.290851079256193,28.698876671484754
-5.290536075703001,28.352478262056195
-5.290221072149809,28.218744300466597
-5.289906068596613,28.206390672581506
-5.289591065043421,28.239963187823605
-5.289276061490229,28.262806023000223
-5.288961057937035,28.233031317119185
-5.288646054383843,28.11784780602028
-5.288331050830651,27.890778691231105
-5.288016047277457,27.53338709017453
-5.2877010437242635,27.039808172936944
-5.2873860401710715,26.420351259649294
-5.2870710366178795,25.700605809176977
-5.286756033064686,24.914661535201333
-5.286441029511494,24.094097504159947
-5.2861260259583,23.256824319833356
-5.285811022405108,22.400535368131216
-5.285496018851914,21.50411198304039
-5.285181015298722,20.537406918592353
-5.28486601174553,19.47657671499644
-5.284551008192338,18.31981671372347
-5.284236004639142,17.097845049215096
-5.28392100108595,15.874966318941574
-5.283605997532758,14.739498754513306
-5.2832909939795645,13.785768022033324
-5.2829759904263724,13.092632507285998
-5.28266098687318,12.704726395520652
-5.282345983319987,12.621907626984125
-5.282030979766793,12.799998841862987
-5.281715976213601,13.16255519834715
-5.281400972660409,13.62012333718468
-5.281085969107215,14.091289325360435
-5.280770965554023,14.519429819562788
-5.280455962000829,14.880598710473464
-5.280140958447637,15.180909408836897
-5.279825954894443,15.445158638953842
-5.279510951341251,15.701177956535105
-5.279195947788059,15.965606870933584
-5.278880944234865,16.236081505673837
-5.278565940681672,16.492483571811476
-5.27825093712848,16.706692139902202
-5.277935933575288,16.85728586808682
-5.277620930022094,16.94383088247133
-5.277305926468902,16.995341673221503
-5.27699092291571,17.069239695914177
-5.276675919362514,17.240124710848647
-5.276360915809322,17.581001945580113
-5.27604591225613,18.14224655960851
-5.275730908702938,18.93469285723063
-5.275415905149744,19.922399189025384
-5.275100901596552,21.02802125362632
-5.27478589804336,22.150044122309566
-5.274470894490166,23.187472200810305
-5.274155890936973,24.065115076277266
-5.2738408873837805,24.75218551553536
-5.2735258838305885,25.268773353488427
-5.273210880277395,25.678356298193535
-5.272895876724203,26.068716662738495
-5.272580873171009,26.52706358411541
-5.272265869617817,27.116669252045995
-5.271950866064623,27.861443471308007
-5.271635862511431,28.741979902490186
-5.271320858958239,29.70280700915481
-5.271005855405045,30.66724557380087
-5.270690851851851,31.554533325937484
-5.270375848298659,32.294166834368355
-5.270060844745467,32.83436407990985
-5.2697458411922735,33.14420235475734
-5.2694308376390815,33.21121509969731
-5.2691158340858895,33.037237101887854
-5.268800830532694,32.634886017323026
-5.268485826979502,32.02569838778771
-5.26817082342631,31.239400561473587
-5.267855819873118,30.31286127043137
-5.267540816319924,29.28735117815205
-5.267225812766732,28.20372625781323
-5.266910809213538,27.096536937459746
-5.266595805660344,25.989157064307335
-5.266280802107152,24.892268785092313
-5.26596579855396,23.80722372647665
-5.265650795000768,22.734143254139894
-5.2653357914475745,21.68268256207125
-5.265020787894381,20.681883115839184
-5.264705784341189,19.78511243775091
-5.264390780787997,19.067070760765716
-5.264075777234803,18.612105003076408
-5.263760773681611,18.496002749795196
-5.263445770128419,18.766084627589407
-5.263130766575223,19.425756687185924
-5.262815763022031,20.4290290958038
-5.262500759468839,21.687810213556816
-5.262185755915647,23.090787037743098
-5.261870752362453,24.528753297053925
-5.261555748809261,25.918832386307656
-5.261240745256069,27.220185422909537
-5.260925741702874,28.436572155171746
-5.260610738149682,29.605565054515353
-5.26029573459649,30.77862128835534
-5.2599807310432976,31.998902633338503
-5.259665727490104,33.28373939477626
-5.259350723936912,34.616157876010675
-5.259035720383718,35.94617883533505
-5.258720716830524,37.1993358696966
-5.258405713277332,38.28837089211868
-5.25809070972414,39.12465829513371
-5.257775706170948,39.62781985946776
-5.257460702617754,39.73383930196019
-5.25714569906456,39.40258212441705
-5.256830695511368,38.62466849417825
-5.256515691958175,37.42589759160063
-5.256200688404983,35.86627398828813
-5.2558856848517905,34.03132373120394
-5.2555706812985985,32.01600842113879
-5.255255677745403,29.905104445498637
-5.254940674192211,27.75657045730094
-5.254625670639019,25.59449899082034
-5.254310667085827,23.41518754766389
-5.253995663532633,21.20469303381185
-5.253680659979441,18.96117855096884
-5.253365656426247,16.712817934075133
-5.253050652873053,14.523355159277685
-5.252735649319861,12.482219481982838
-5.252420645766669,10.682328892881458
