file,timestamp,role,setting,lambda,asymmetry,iterations,target_ppm,target_height,target_area,fixed_product_area,starting_material_area,silane_area,left_peak_area,target_ppm_change,target_ppm_percent_change,target_height_change,target_height_percent_change,target_area_change,target_area_percent_change,fixed_product_area_change,fixed_product_area_percent_change,starting_material_area_change,starting_material_area_percent_change,silane_area_change,silane_area_percent_change,left_peak_area_change,left_peak_area_percent_change
20260810_154822_081626_phsi4_0001_8scan_gain12.dx,2026-08-10T15:57:37,primary worked example,lower_smoothness,300000.0,0.001,10,5.806510281221617,85.04066032184923,2.0679956714733034,4.621849898363923,0.5353784584026728,2.1464480942843647,2.7465146263486115,0.004614439192023312,0.07953329941905866,-15.289170712294535,-15.238908064234055,-0.6843060385873256,-24.863045940274166,-1.4496588053756705,-23.876418137765157,-0.012831527666489206,-2.340622752696516,0.22557401117035392,11.743300258633624,-0.0673141722147621,-2.3922625374056152
20260810_154822_081626_phsi4_0001_8scan_gain12.dx,2026-08-10T15:57:37,primary worked example,production,1000000.0,0.001,10,5.801895842029594,100.32983103414377,2.752301710060629,6.071508703739593,0.548209986069162,1.9208740831140108,2.8138287985633736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260810_154822_081626_phsi4_0001_8scan_gain12.dx,2026-08-10T15:57:37,primary worked example,higher_smoothness,3000000.0,0.001,10,5.801805886439852,112.61639652017607,3.478394503031783,7.308161250330304,0.5814612817506077,1.8577325410080134,2.8393035007722256,-8.995558974156381e-05,-0.0015504516487510045,12.286565486032302,12.246173804330436,0.726092792971154,26.38129353032155,1.2366525465907108,20.368126061139066,0.03325129568144569,6.065430496782435,-0.06314154210599732,-3.2871255154651196,0.02547470220885195,0.9053394514214332
20260810_154822_081626_phsi4_0001_8scan_gain12.dx,2026-08-10T15:57:37,primary worked example,lower_asymmetry,1000000.0,0.0005,10,5.801833330328536,108.10547018553814,3.193124351061013,6.843168623660355,0.5682149205757192,1.8883941310925092,2.8335789289746636,-6.251170105731063e-05,-0.001077435768571865,7.775639151394373,7.75007699230372,0.44082264100038415,16.01650863308418,0.7716599199207614,12.709525055040716,0.02000493450655716,3.649137194672215,-0.03247995202150156,-1.6908943853751686,0.019750130411289923,0.7018952404415484
20260810_154822_081626_phsi4_0001_8scan_gain12.dx,2026-08-10T15:57:37,primary worked example,higher_asymmetry,1000000.0,0.003,10,5.801979514517121,85.99736439622836,2.110912845241404,4.686411750358699,0.5703847969206353,2.0174414088030748,2.7551978634172847,8.367248752705336e-05,0.001442157698194448,-14.332466637915402,-14.285349123171398,-0.6413888648192252,-23.30372656728453,-1.3850969533808941,-22.813060492325054,0.022174810851473215,4.04494836193583,0.09656732568906401,5.027259544910649,-0.05863093514608897,-2.0836710170861688
20260810_161811_081626_phsi4_0001_8scan_gain12.dx,2026-08-10T16:27:25,difficult / non-detection,lower_smoothness,300000.0,0.001,10,0.0,0.0,0.0,2.526132244436583,0.5767298025944037,0.8161912116146331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8267232812152634,-24.657289134298015,0.08250315083569332,16.693383600844886,0.13963788360380724,20.6395974748014,0.0,0.0
20260810_161811_081626_phsi4_0001_8scan_gain12.dx,2026-08-10T16:27:25,difficult / non-detection,production,1000000.0,0.001,10,0.0,0.0,0.0,3.3528555256518464,0.49422665175871033,0.6765533280108259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260810_161811_081626_phsi4_0001_8scan_gain12.dx,2026-08-10T16:27:25,difficult / non-detection,higher_smoothness,3000000.0,0.001,10,5.7634214781322415,83.86886111402939,1.308917629339568,4.553029077512485,0.4667094483408658,0.6220546975417874,0.7818884449783041,5.7634214781322415,0.0,83.86886111402939,0.0,1.308917629339568,0.0,1.2001735518606385,35.79556418934294,-0.027517203417844527,-5.567729566975859,-0.05449863046903847,-8.05533403098808,0.7818884449783041,0.0
20260810_161811_081626_phsi4_0001_8scan_gain12.dx,2026-08-10T16:27:25,difficult / non-detection,lower_asymmetry,1000000.0,0.0005,10,0.0,0.0,0.0,4.158778459680313,0.4787223744491904,0.6406358901814719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8059229340284668,24.036912054890376,-0.01550427730951992,-3.1370783534938473,-0.03591743782935397,-5.308884952935926,0.0,0.0
20260810_161811_081626_phsi4_0001_8scan_gain12.dx,2026-08-10T16:27:25,difficult / non-detection,higher_asymmetry,1000000.0,0.003,10,0.0,0.0,0.0,2.6712004177188082,0.5486449037820184,0.7861395272026223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6816551079330382,-20.330583966946026,0.05441825202330802,11.010788639111256,0.10958619919179635,16.19771785233799,0.0,0.0
