file,sequence_label,baseline_median_before,baseline_median_after,baseline_mean_after,baseline_sd_after,baseline_mad_after,baseline_slope_before,baseline_slope_after,baseline_points_used,baseline_flattening_method,baseline_flattening_qc_pass,baseline_flattening_qc_reason
CEC-PhSi2-flow(sequence-1115)-06-08-26.dx,CEC-PhSi2-flow(sequence-1115)-06-08-26,33.52520431095968,0.36986386332922905,1.3553167957120205e-14,19.069279557686837,11.893256141694309,9.189837831272246,4.940244934417673e-15,4127,robust_linear,True,median_centered;slope_reduced;no_local_trough_from_linear_fit
CEC-PhSi2-flow(sequence-1215)-06-08-26.dx,CEC-PhSi2-flow(sequence-1215)-06-08-26,26.716651774347923,-1.0643913039540678,2.5233133838866073e-14,15.96395388564155,11.484032119533836,3.144591928291309,8.449247013903716e-16,4127,robust_linear,True,median_centered;slope_reduced;no_local_trough_from_linear_fit
CEC-PhSi2-flow(sequence-1315)-06-08-26.dx,CEC-PhSi2-flow(sequence-1315)-06-08-26,24.999206677768374,-1.0287032819474788,-3.819400322405998e-15,15.899727468638195,12.016142895853777,6.949063559769684,5.36491742095928e-15,3810,robust_linear,True,median_centered;slope_reduced;no_local_trough_from_linear_fit
CEC-PhSi2-flow(sequence-1415)-06-08-26.dx,CEC-PhSi2-flow(sequence-1415)-06-08-26,32.28486855833313,0.024144216983323474,4.668508925450392e-15,16.96952975422192,11.811666360380038,0.8426079789238277,-1.2175365714178389e-14,3945,robust_linear,True,median_centered;slope_reduced;no_local_trough_from_linear_fit
CEC-PhSi2-flow(sequence-1515)-06-08-26.dx,CEC-PhSi2-flow(sequence-1515)-06-08-26,28.34186490555527,-0.7737063170564298,2.280898997661693e-14,16.242671029581068,10.574610747420238,-0.737434347582616,-1.0765164877949543e-14,4127,robust_linear,True,median_centered;slope_reduced;no_local_trough_from_linear_fit
CEC-PhSi2-flow(sequence-1615)-06-08-26.dx,CEC-PhSi2-flow(sequence-1615)-06-08-26,28.160098661325833,-0.8507101782945199,-1.0332528524098878e-14,17.761321263270915,13.726341034301875,-6.075309316264849,-2.709450829586084e-14,3917,robust_linear,True,median_centered;slope_reduced;no_local_trough_from_linear_fit
CEC-PhSi2-flow(sequence-1700)-06-08-26.dx,CEC-PhSi2-flow(sequence-1700)-06-08-26,29.64886007016284,-0.8769020428707641,-3.580687802255623e-16,17.06615151785612,11.716038231487255,-2.2070997167529343,1.9306720174762217e-15,3810,robust_linear,True,median_centered;slope_reduced;no_local_trough_from_linear_fit
