analysis_target,target_kind,kinetic_model,is_best_by_aicc,fit_success,n_observations,rate_constant,rate_constant_se,rate_constant_ci95_low,rate_constant_ci95_high,half_life,t90,t95,plateau_area,lag_time,fit_rmse,r_squared,aic,aicc,bic,durbin_watson,residual_lag1_autocorrelation,ljung_box_pvalue,fit_qc_pass,fit_qc_failure_reasons
candidate_5p79,fixed_region,zero_order,False,False,7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,curve_fit_failed: leastsq() got an unexpected keyword argument 'max_nfev'
candidate_5p79,fixed_region,first_order_decay,True,True,7,0.9599,0.2604,0.2906,1.63,0.7221,2.40,3.12,0,nan,2.32,0.8879,15.76,18.76,15.66,2.13,-0.3043,nan,True,
candidate_5p79,fixed_region,first_order_formation,False,True,7,18.81,641361000.21,-1648670918.41,1648670956.03,0.03685,0.1224,0.1592,3.24,nan,8.62,-0.5524,34.16,37.16,34.05,0.8749,0.4268,nan,False,residual_autocorrelation_optimistic_uncertainty
candidate_5p79,fixed_region,first_order_formation_lag,False,True,7,17.49,628763.15,-1745708.88,1745743.87,0.03963,0.1316,0.1713,3.24,1.788e-11,8.62,-0.5524,36.16,44.16,36.00,0.8749,0.4268,nan,False,residual_autocorrelation_optimistic_uncertainty
candidate_6p10,fixed_region,zero_order,False,False,7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,curve_fit_failed: leastsq() got an unexpected keyword argument 'max_nfev'
candidate_6p10,fixed_region,first_order_decay,False,True,7,0.04196,0.115,-0.2537,0.3376,16.52,54.87,71.39,0,nan,0.7048,0.02878,-0.8974,2.10,-1.01,3.36,-0.7488,nan,False,residual_autocorrelation_optimistic_uncertainty
candidate_6p10,fixed_region,first_order_formation,False,True,7,17.91,53854593.42,-138437621.71,138437657.52,0.03871,0.1286,0.1673,1.47,nan,0.8298,-0.3461,1.39,4.39,1.28,2.52,-0.4779,nan,False,residual_autocorrelation_optimistic_uncertainty
candidate_6p10,fixed_region,first_order_formation_lag,False,True,7,17.91,195305.20,-542236.26,542272.07,0.03871,0.1286,0.1673,1.47,1.883e-24,0.8298,-0.3461,3.39,11.39,3.23,2.52,-0.4779,nan,False,residual_autocorrelation_optimistic_uncertainty
P002,peak_family,zero_order,False,False,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,curve_fit_failed: leastsq() got an unexpected keyword argument 'max_nfev'
P002,peak_family,first_order_decay,False,True,3,0.4356,0.1947,-2.04,2.91,1.59,5.29,6.88,0,nan,0.4339,0.8774,-1.01,nan,-2.81,2.90,-1.00,nan,False,few_observations_for_uncertainty; residual_autocorrelation_optimistic_uncertainty
P002,peak_family,first_order_formation,False,True,3,20.19,593592778.66,-7542311355.38,7542311395.76,0.03433,0.1141,0.1484,2.79,nan,1.24,-2.676e-09,5.29,nan,3.48,1.23,1.00,nan,False,few_observations_for_uncertainty; residual_autocorrelation_optimistic_uncertainty
P002,peak_family,first_order_formation_lag,False,False,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,insufficient_observations (3 < 4)
