file,spectrum_index,peak_number,peak_id,peak_family_id,area_robust_z,ppm_robust_z,width_robust_z,snr_robust_z,is_statistical_outlier,is_processing_outlier,outlier_reason
CEC-PhSi2-flow(sequence-1115)-06-08-26.dx,0,1,1,P001,0.0,0.0,0.0,0.0,False,False,
CEC-PhSi2-flow(sequence-1315)-06-08-26.dx,2,1,1,P002,0.0,0.0,0.0,0.0,False,False,
CEC-PhSi2-flow(sequence-1415)-06-08-26.dx,3,1,1,P003,0.6745000000000002,0.6745,0.6745,0.6745,False,False,
CEC-PhSi2-flow(sequence-1615)-06-08-26.dx,5,1,1,P003,-0.6744999999999999,-0.6745,-0.6745,-0.6744999999999999,False,True,classification=unresolved_feature
CEC-PhSi2-flow(sequence-1700)-06-08-26.dx,6,1,1,P004,0.0,0.0,0.0,0.0,False,True,classification=unresolved_feature
