peak_family_id,detection_frequency,observations,expected_observations,mean_ppm,median_ppm,ppm_sd,ppm_mad,ppm_iqr,mean_area,median_area,area_sd,area_mad,area_iqr,area_cv_percent,mean_height,height_cv_percent,mean_width_hz,width_cv_percent,first_spectrum_index,last_spectrum_index,reproducible
P001,0.14285714285714285,1,7,5.794749254958134,5.794749254958134,nan,0.0,0.0,20.34646884730314,20.34646884730314,nan,0.0,0.0,nan,508.3677218808669,nan,2.668898494989179,nan,0,0,False
P002,0.42857142857142855,3,7,5.843041547890873,5.845456017215655,0.0056076062208242515,0.0015814682123194146,0.005203172199493622,2.786645757459077,2.190256708969864,1.5177172755058679,0.5325484483141825,1.4271320210480014,54.463947254270124,122.74456175867833,63.69342493427853,1.8163380864142837,14.67537365528237,1,4,True
P003,0.14285714285714285,1,7,5.696774199335692,5.696774199335692,nan,0.0,0.0,1.889429902903943,1.889429902903943,nan,0.0,0.0,nan,56.93402256924065,nan,2.5710122821663166,nan,3,3,False
P004,0.14285714285714285,1,7,6.0983933692650885,6.0983933692650885,nan,0.0,0.0,1.2976510331348423,1.2976510331348423,nan,0.0,0.0,nan,52.7701517033191,nan,2.0414298446041546,nan,4,4,False
P005,0.14285714285714285,1,7,5.21797769186448,5.21797769186448,nan,0.0,0.0,0.8569642714970815,0.8569642714970815,nan,0.0,0.0,nan,62.12827687861486,nan,1.237459844407066,nan,4,4,False
P006,0.14285714285714285,1,7,5.289165297406385,5.289165297406385,nan,0.0,0.0,0.7271226627409975,0.7271226627409975,nan,0.0,0.0,nan,57.920998174054255,nan,1.0431238814290282,nan,6,6,False
